cry out,叫ぶ,phrase
day off,休みの日,phrase
decide on,を決める,phrase
describe A as B,AをBだと述べる,phrase
distract A from B,AをBからそらす,phrase
donate A to B,AをBに寄付する,phrase
encourage to,するように励ます,phrase
every other,一つおきの,phrase
exclude A from B,AをBから除外する,phrase
figure out,がわかる,phrase
from point of view,の視点から,phrase
get over,を乗り越える,phrase
get together,集まる,phrase
give out,を配る,phrase
grab by,をつかむ,phrase
graduate from,を卒業する,phrase
have an effect on,に影響を及ぼす,phrase
have in mind,～のことを考えている,phrase
head for,に向かう,phrase
hope for,を願う,phrase
in any case,とにかく,phrase
in brief,要するに,phrase
in danger of,の危険がある,phrase
in direction,の方向に,phrase
in exchange for,と交換に,phrase
in harmony with,と調和して,phrase
in need of,を必要として,phrase
in question,問題となっている,phrase
in search of,を捜して,phrase
in the middle of,の真っ最中で,phrase
insist on,するように強く求める,phrase
intend to,するよう意図する,phrase
invest A in B,AをBに投資する,phrase
leave A to B,AをBにゆだねる,phrase
leave behind,を置き去りにする,phrase
Let me,させてください,phrase
little by little,少しずつ,phrase
long ago,ずっと昔に,phrase
look out,気を付ける,phrase
lose weight,体重を減らす,phrase
make a promise,約束をする,phrase
make sure,を確かめる,phrase
make the most of,を最大限に利用する,phrase
many more,ずっと多くの,phrase
no less than,せいぜい,phrase
no matter how,どんなに～でも,phrase
none of,のどれもない,phrase
not to say,とは言わないまでも,phrase
on and off,断続的に,phrase
on the condition that,～という条件で,phrase
one by one,１つずつ,phrase
ought to,すべきである,phrase
out loud,声に出して,phrase
out of work,失業中で,phrase
over and over again,何度も繰り返し,phrase
pass by,通り過ぎる,phrase
pay a visit to,を訪問する,phrase
put away,片づける,phrase
read out,を音読する,phrase
recover from,から回復する,phrase
result from,の結果として生じる,phrase
set up,設立する,phrase
share A with B,AをBと共有する,phrase
side by side with,～と肩を並べて,phrase
sneak in,こっそり入る,phrase
speak out,はっきり話す,phrase
specialize in,を専門にする,phrase
stand by,待機する,phrase
step by step,一歩ずつ,phrase
stop A from B,AにBをさせない,phrase
sympathize with,に同情する,phrase
take down,取り壊す,phrase
take off,を脱ぐ,phrase
the night before,の前の夜に,phrase
the same A as B,Bと同じA,phrase
the week before last,先々週,phrase
to tell the truth,本当のことを言うと,phrase
treat A as B,AをBとして扱う,phrase
turn around,反対方向に向きを変える,phrase
use up,を使い果たす,phrase
what's more,その上さらに,phrase
A and B respectively,AとBそれぞれ,phrase
above all,中でも,phrase
appear to have,したようだ,phrase
as please,の好きなように,phrase
be abundant in,が豊富である,phrase
be acquainted with,と知り合いである,phrase
be ashamed of,を恥じている,phrase
be engaged to,と婚約している,phrase
be fit for,に適している,phrase
be independent of,から独立している,phrase
be out of breath,息が切れている,phrase
be prepared to,する準備が出来ている,phrase
be reluctant to,することをしぶる,phrase
be said to,だと言われている,phrase
be senior to,よりポストが上である,phrase
be short for,の略である,phrase
be subject to,に従っている,phrase
be susceptible to,の影響を受けやすい,phrase
be under an obligation to,する義務がある,phrase
be unwilling to,するのを嫌がる,phrase
be weary of,に嫌気がさしている,phrase
bring up,持ち出す,phrase
bump into,にぶつかる,phrase
by a wide margin,大差で,phrase
by virtue of,のおかげで,phrase
call for,を要求する,phrase
come apart,ばらばらになる,phrase
come into existence,生まれる,phrase
come off,取れる,phrase
compensate for,を補償する,phrase
comply with,に従う,phrase
confuse A with B,AをBと混同する,phrase
congratulate A on B,BのことでAを祝う,phrase
consist of,から成り立っている,phrase
contrary to,に反して,phrase
correspond to,に相当する,phrase
cut down on,を切り詰める,phrase
define A as B,AをBと定義する,phrase
devote A to B,AをBに捧げる,phrase
die out,絶滅する,phrase
differ from,と異なる,phrase
dozens of,数十の,phrase
drive crazy,の頭をおかしくさせる,phrase
end with,で終わる,phrase
enter into,～に参加する,phrase
entitle A to B,AにBの権利を与える,phrase
every now and then,時々,phrase
every other day,一日おきに,phrase
extract A from B,AをBから引き抜く,phrase
face up to,受け止めて対処する,phrase
fall off,落ちる,phrase
feel pity for,に哀れみを感じる,phrase
follow up on,追及する,phrase
for fear of,を恐れて,phrase
for that matter,その事なら,phrase
for the sake of,のために,phrase
get done,をやり終える,phrase
get into,の中に入る,phrase
